quarter_end,earnings_yield,ev_ebitda,pb_ratio,dividend_yield,roic,roe,ebitda_margin,evs,beta,volatility,debt_to_equity,current_ratio
2018-12-31,0.06771429712898151,5.05668,1.03094,0.22046,,0.06980951742769174,,,1.744455393131417,0.5246108644509718,1.152826908088015,1.4794370956442906
2019-03-31,0.011723806349449384,12.06773,1.25128,0.17819,,0.0146697067096609,,,1.645887699443549,0.5201108074978193,1.4291823368427607,1.1503095852526444
2019-06-30,0.04277635665215122,8.72146,1.14176,2.80569,,0.04884008040902598,,,1.4560725243294366,0.3910098448855203,1.251258814936429,1.3107209460338571
2019-09-30,-0.02960435847207169,-40.37805,1.14635,2.97292,,-0.0339367173199291,,,1.374406435522441,0.36309625219945374,1.208643661239762,1.1043019601975161
2019-12-31,0.08260039251706525,4.67319,1.30035,2.71385,,0.10740897983198334,,,1.2060207904167286,0.2935761031836731,1.1739136248608497,0.9651648342187056
2020-03-31,-0.27576393504104746,-6.35533,0.76754,10.2862,,-0.211659040119187,,,1.4135411049195896,0.6506295175426272,1.9747408747472597,1.2130349978121733
2020-06-30,-0.010127609910392932,11.12032,1.13036,3.34107,,-0.011447942992255444,,,1.3545721712123535,0.6797999737700209,2.0330171210437853,1.4006201055705456
2020-09-30,-0.0066032634516565505,7.21519,1.00953,3.16165,,-0.0066663737562959085,,,1.3488614984133709,0.6845245613724786,1.793126725009087,1.0777365570764572
2020-12-31,0.1655009880408986,4.49089,1.17392,2.18931,,0.19428571428571428,,,1.3708390775939945,0.7080644084187666,1.2616037281054153,1.0442888903563803
2021-03-31,0.004107883875380934,6.12551,0.96994,0.00187,,0.00398444940592359,,,1.3319286516743587,0.5259361361762926,1.2625208824493748,1.2370309072941856
2021-06-30,0.11010632968257447,10.91524,1.0467,2.6772,,0.11524876514252601,,,1.6040180008806746,0.45431870778906747,0.8790777891222163,1.3071707683150895
2021-09-30,-0.033670589178070615,10.95074,0.93418,8.80577,,-0.03145420813492011,,,1.5891550390069062,0.4562617989730764,0.8627455155727211,1.1995471066751284
2021-12-31,0.20737207734978483,2.24834,0.94123,19.85185,,0.19518405671734504,,,1.4887549917342748,0.44525552719739675,0.8414630076928803,1.2470777463995315
2022-03-31,0.1038740879855075,5.13859,0.98643,16.88445,,0.10246395812026239,,,1.1274186677942801,0.3437188711518937,0.6347351971463937,1.5320913516917265
2022-06-30,0.02694843955060782,7.25025,0.87194,29.18604,,0.023497524536637827,,,1.0876230142005094,0.35795023031594814,0.6797520661157025,1.3133263611771648
2022-09-30,-0.02147449463534912,-117.06316,1.02667,50.77681,,-0.022047286189706097,,,1.1302278812772688,0.3723804213631421,0.7842798144905841,1.1731869491263336
2022-12-31,0.4521245331814195,1.32064,0.86659,55.32837,,0.3918081150431549,,,1.152199175165354,0.4119451407978815,0.7703472975012693,0.9958529539305324
2023-03-31,0.12674335484590543,3.87647,0.74922,64.94627,,0.09495916014922968,,,1.1910347841609932,0.4169055970418869,0.6718583061687387,1.223775788244453
