quarter_end,pe_ratio,pb_ratio,roe,roa,ev_ebitda,dividend_yield,revenue,ebitda,net_income,total_debt,equity,total_assets,current_assets,current_liabilities,inventory,current_ratio,quick_ratio,debt_to_equity,net_margin,asset_turnover,tax_provision,pre_tax_income
2014-12-31,-8.07915,0.41563,-0.051444699763775976,-0.020148101465259177,-15.63879,,248883000000,,-15985000000,351035000000.0,310722000000.0,793375000000.0,135023000000.0,82659000000.0,30457000000.0,1.6334942353524722,1.265028611524456,1.129739767380488,-0.06422696608446539,0.3137015913029778,8488000000,-19994000000
2015-03-31,27.69634,0.41021,0.014811325692154707,0.005442647857798804,5.78234,,74353000000,,4528000000,400639000000.0,305712000000.0,831948000000.0,137565000000.0,90359000000.0,32031000000.0,1.5224272070297369,1.1679412122754789,1.310511200083739,0.060898685997875,0.08937217229923024,-3023000000,7551000000
2015-06-30,-45.25225,0.52946,-0.01169995119633617,-0.0042127361954337195,29.86614,,5590000000,,-3620000000,415549000000.0,309403000000.0,859299000000.0,160380000000.0,100596000000.0,33771000000.0,1.594297984015269,1.2585888106882976,1.3430671325100274,-0.6475849731663685,0.006505302578031628,-2673000000,-3970000000
2015-09-30,-15.72819,0.32069,-0.020389577362173606,-0.006368872925258866,15.35534,,2296000000,,-5933000000,506584000000.0,290982000000.0,931562000000.0,176380000000.0,109719000000.0,32585000000.0,1.6075611334408808,1.310575196638686,1.7409461753647992,-2.5840592334494774,0.002464677605999386,174000000,-8780000000
2015-12-31,-2.86455,0.3348,-0.1168766719652619,-0.03349053197575919,-10.98099,,239399000000,,-30146000000,492849000000.0,257930000000.0,900135000000.0,169581000000.0,111572000000.0,29057000000.0,1.5199243537805185,1.2594916287240527,1.9107858721358508,-0.12592366718323802,0.26595899503963294,11580000000,-36030000000
2016-03-31,-282.47632,0.40401,-0.0014302714512562738,-0.0004434563992737092,5.08005,,70337000000,,-381000000,450015000000.0,266383000000.0,859160000000.0,146243000000.0,107458000000.0,29098000000.0,1.3609317128552552,1.0901468480708743,1.68935329957242,-0.005416779220040661,0.08186717258717817,-224000000,-157000000
2016-06-30,135.05376,0.44103,0.0032656234107783736,0.001098576128026278,11.04246,,983000000,,899000000,397760000000.0,275292000000.0,818332000000.0,132625000000.0,83681000000.0,28508000000.0,1.584887847898567,1.2442131427683703,1.4448658152071254,0.9145473041709054,0.0012012239531143838,-622000000,1521000000
2016-09-30,-10.38534,0.66752,-0.06427470078163165,-0.020967223850419443,-34.71618,,-877000000,,-16841000000,398165000000.0,262016000000.0,803206000000.0,144753000000.0,82830000000.0,27627000000.0,1.7475914523723288,1.4140528793915248,1.5196209391792868,19.20296465222349,-0.0010918743136878958,971000000,-18658000000
2016-12-31,58.46735,0.7583,0.012969696490110507,0.004072327923025797,5.05914,,212146000000,,3278000000,385784000000.0,252743000000.0,804945000000.0,145907000000.0,81167000000.0,27622000000.0,1.797614794189757,1.457304076779972,1.5263884657537499,0.015451622938919423,0.26355341048146147,-2467000000,6591000000
2017-03-31,38.85135,0.71688,0.018451841729490704,0.006099897721706601,7.28157,,68365000000,,4807000000,364758000000.0,260516000000.0,788046000000.0,134058000000.0,78477000000.0,26172000000.0,1.7082457280477084,1.3747467410833747,1.4001366518755085,0.07031375703942076,0.08675254997804696,-2320000000,7127000000
2017-06-30,-35.31158,0.61052,-0.017289311644150353,-0.00558749786524168,14.35692,,-1369000000,,-4515000000,376587000000.0,261144000000.0,808054000000.0,142435000000.0,69968000000.0,26621000000.0,2.0357163274639833,1.6552423965241254,1.4420664460987043,3.2980277574872168,-0.0016941937048761593,-6478000000,-357000000
2017-09-30,550.75594,0.7455,0.001353399944805477,0.00044534564046425415,56.40664,,4826000000,,358000000,359412000000.0,264519000000.0,803870000000.0,143942000000.0,71248000000.0,25851000000.0,2.02029530653492,1.6574640691668538,1.358737935649235,0.0741815167840862,0.006003458270615896,-155000000,-5965000000
2017-12-31,-760.15109,0.76967,-0.0010125774733039327,-0.0003283163863550267,5.18746,,211873000000,,-273000000,361483000000.0,269609000000.0,831515000000.0,155909000000.0,82535000000.0,28081000000.0,1.8890046646877083,1.5487732477130913,1.3407675559792143,-0.0012885077381261415,0.25480358141464676,3156000000,5369000000
